time,close,high,low,open,volumefrom,volumeto
2019-11-10 02:00:00,8789.53,8812.56,8789.53,8799.36,48.21,427800.88
2019-11-10 01:00:00,8799.36,8813.54,8784.2,8795.23,356.14,3138203.73
2019-11-10 00:00:00,8795.23,8830.03,8795.23,8822.19,443.91,3918536.83
2019-11-09 23:00:00,8822.19,8845.67,8806.47,8811.22,1054.61,9317170.46
2019-11-09 22:00:00,8811.22,8830.41,8794.88,8808.05,434.06,3833338.54
2019-11-09 21:00:00,8808.05,8813.25,8793.32,8797.28,365.24,3221823.95
2019-11-09 20:00:00,8797.28,8806.94,8781.05,8785.92,395.38,3477179.84
2019-11-09 19:00:00,8785.92,8793.61,8765.79,8784.23,448.76,3946176.59
2019-11-09 18:00:00,8784.23,8801.71,8774.26,8786.06,413.58,3642585.52
2019-11-09 17:00:00,8786.06,8796.19,8754.15,8763.34,692.02,6074462.18
2019-11-09 16:00:00,8763.34,8823.63,8743.77,8810.67,1028.42,9020618.17
2019-11-09 15:00:00,8810.67,8841.69,8783.66,8829.71,753.26,6636109.06
2019-11-09 14:00:00,8829.71,8876.09,8783.25,8869.39,920.96,8133348.06
2019-11-09 13:00:00,8869.39,8878.35,8841.37,8849.34,484.46,4302414.57
2019-11-09 12:00:00,8849.34,8859.05,8819.66,8823.86,455.65,4038949.26
2019-11-09 11:00:00,8823.86,8856.22,8819.42,8851.82,227.77,2022321.82
2019-11-09 10:00:00,8851.82,8864.75,8834.82,8837.31,232.1,2059004.89
2019-11-09 09:00:00,8837.31,8851.39,8818.0,8818.0,358.82,3189541.53
2019-11-09 08:00:00,8818.0,8828.51,8812.56,8820.96,339.65,3004994.83
2019-11-09 07:00:00,8820.96,8880.5,8819.04,8877.77,705.89,6255299.11
2019-11-09 06:00:00,8877.77,8881.08,8833.05,8833.08,661.53,5869932.01
2019-11-09 05:00:00,8833.08,8841.2,8822.37,8822.44,304.1,2693461.06
2019-11-09 04:00:00,8822.44,8835.24,8812.19,8830.06,313.96,2776402.77
2019-11-09 03:00:00,8830.06,8838.83,8812.39,8819.21,305.48,2704174.78
2019-11-09 02:00:00,8819.21,8821.56,8790.38,8792.3,453.74,4007368.08
2019-11-09 01:00:00,8792.3,8824.76,8786.04,8813.05,523.97,4626287.91
2019-11-09 00:00:00,8813.05,8819.92,8732.62,8772.31,1271.93,11172314.28
2019-11-08 23:00:00,8772.31,8829.61,8769.04,8814.35,1578.95,13882229.74
2019-11-08 22:00:00,8814.35,8873.05,8814.11,8869.4,679.13,6016461.93
2019-11-08 21:00:00,8869.4,8887.38,8809.21,8809.76,1337.41,11850318.16
2019-11-08 20:00:00,8809.76,8833.44,8799.72,8801.38,600.34,5296213.98
2019-11-08 19:00:00,8801.38,8832.47,8792.04,8814.2,1152.36,10158206.66
2019-11-08 18:00:00,8814.2,8843.31,8769.58,8774.52,1739.49,15314297.01
2019-11-08 17:00:00,8774.52,8783.41,8749.42,8755.68,1329.89,11659122.95
2019-11-08 16:00:00,8755.68,8803.27,8711.83,8801.74,1896.73,16622554.43
2019-11-08 15:00:00,8801.74,8805.2,8728.17,8763.88,2686.89,23518910.81
2019-11-08 14:00:00,8763.88,8827.68,8682.74,8798.69,4788.6,41883087.06
2019-11-08 13:00:00,8798.69,9006.22,8743.77,9006.22,7860.57,69464988.29
2019-11-08 12:00:00,9006.22,9021.17,8977.99,9019.28,1249.65,11254113.55
2019-11-08 11:00:00,9019.28,9056.07,9009.66,9020.54,1094.65,9884349.56
2019-11-08 10:00:00,9020.54,9037.12,9000.89,9027.39,1403.44,12647663.61
2019-11-08 09:00:00,9027.39,9077.12,8945.36,9077.12,4389.19,39451433.16
2019-11-08 08:00:00,9077.12,9152.84,9043.26,9137.4,2985.93,27096954.07
2019-11-08 07:00:00,9137.4,9209.6,9121.94,9198.95,1449.13,13259010.12
2019-11-08 06:00:00,9198.95,9217.72,9185.25,9213.97,338.87,3122757.64
2019-11-08 05:00:00,9213.97,9231.29,9192.44,9222.04,433.0,3991201.48
2019-11-08 04:00:00,9222.04,9263.83,9219.61,9238.31,963.4,8904568.58
2019-11-08 03:00:00,9238.31,9248.56,9231.59,9242.06,279.65,2590114.47
2019-11-08 02:00:00,9242.06,9254.6,9222.53,9223.1,432.57,4005354.93
2019-11-08 01:00:00,9223.1,9245.54,9203.67,9205.06,479.55,4427467.13
2019-11-08 00:00:00,9205.06,9220.88,9181.13,9208.52,525.52,4834025.65
2019-11-07 23:00:00,9208.52,9240.53,9207.8,9236.24,424.36,3920306.69
2019-11-07 22:00:00,9236.24,9260.34,9213.96,9213.96,1236.2,11420942.86
2019-11-07 21:00:00,9213.96,9225.32,9114.14,9196.71,2686.56,24581043.39
2019-11-07 20:00:00,9196.71,9224.6,9189.84,9220.1,682.93,6288367.6
2019-11-07 19:00:00,9220.1,9232.33,9203.29,9219.2,486.18,4486006.13
2019-11-07 18:00:00,9219.2,9224.22,9200.22,9216.83,499.1,4596122.12
2019-11-07 17:00:00,9216.83,9229.66,9196.54,9218.0,475.45,4381827.45
2019-11-07 16:00:00,9218.0,9241.83,9189.43,9201.67,602.26,5549878.64
2019-11-07 15:00:00,9201.67,9234.32,9184.02,9230.63,812.4,7485481.92
2019-11-07 14:00:00,9230.63,9242.37,9194.57,9212.96,769.23,7094414.97
2019-11-07 13:00:00,9212.96,9233.12,9169.89,9181.26,1185.75,10916839.35
2019-11-07 12:00:00,9181.26,9211.54,9151.16,9198.68,957.55,8801367.4
2019-11-07 11:00:00,9198.68,9229.03,9192.55,9216.21,794.83,7316649.53
2019-11-07 10:00:00,9216.21,9238.4,9166.38,9230.8,2395.48,21989336.91
2019-11-07 09:00:00,9230.8,9267.79,9229.02,9265.82,796.13,7370457.92
2019-11-07 08:00:00,9265.82,9282.95,9241.3,9257.03,797.54,7385198.62
2019-11-07 07:00:00,9257.03,9307.61,9236.0,9297.55,1637.45,15182198.01
2019-11-07 06:00:00,9297.55,9320.89,9289.5,9313.24,419.54,3909885.53
2019-11-07 05:00:00,9313.24,9318.36,9269.47,9298.78,803.55,7478007.35
2019-11-07 04:00:00,9298.78,9321.48,9298.74,9303.09,342.38,3193725.68
2019-11-07 03:00:00,9303.09,9325.32,9289.17,9308.36,604.08,5640990.68
2019-11-07 02:00:00,9308.36,9340.4,9287.45,9325.54,733.61,6845773.84
2019-11-07 01:00:00,9325.54,9382.63,9313.79,9349.52,769.36,7205225.01
2019-11-07 00:00:00,9349.52,9363.99,9337.01,9347.27,410.14,3839562.99
2019-11-06 23:00:00,9347.27,9375.75,9342.58,9346.78,978.87,9160497.34
2019-11-06 22:00:00,9346.78,9356.55,9325.32,9325.32,843.66,7894832.43
2019-11-06 21:00:00,9325.32,9336.52,9301.29,9302.32,520.81,4852991.37
2019-11-06 20:00:00,9302.32,9319.02,9286.2,9312.91,852.62,7987390.85
2019-11-06 19:00:00,9312.91,9328.69,9302.45,9313.8,812.34,7596297.39
2019-11-06 18:00:00,9313.8,9317.43,9280.83,9303.64,979.94,9151267.15
2019-11-06 17:00:00,9303.64,9327.36,9269.82,9327.23,1355.13,12594909.38
2019-11-06 16:00:00,9327.23,9357.94,9307.44,9357.25,879.86,8198570.14
2019-11-06 15:00:00,9357.25,9360.08,9335.64,9338.47,816.53,7631752.32
2019-11-06 14:00:00,9338.47,9359.97,9330.42,9343.94,961.23,8982204.04
2019-11-06 13:00:00,9343.94,9377.89,9331.86,9369.56,881.05,8237770.84
2019-11-06 12:00:00,9369.56,9407.14,9347.55,9394.69,898.14,8413515.12
2019-11-06 11:00:00,9394.69,9412.67,9355.1,9365.74,586.39,5507712.08
2019-11-06 10:00:00,9365.74,9384.43,9347.92,9366.88,617.27,5782572.44
2019-11-06 09:00:00,9366.88,9417.24,9360.81,9417.24,1027.82,9648558.87
2019-11-06 08:00:00,9417.24,9418.96,9391.03,9403.55,586.7,5519845.35
2019-11-06 07:00:00,9403.55,9455.53,9384.91,9405.29,2007.11,18891391.36
2019-11-06 06:00:00,9405.29,9410.93,9333.0,9354.11,1270.71,11925483.18
