time,close,high,low,open,volumefrom,volumeto
2019-11-10,0.03515,0.03581,0.03511,0.03547,198364.05,7087.55
2019-11-09,0.03547,0.03652,0.03494,0.03605,2608642.81,92528.56
2019-11-08,0.03605,0.03649,0.03465,0.03803,6785336.77,244611.39
2019-11-07,0.03803,0.04089,0.03554,0.03627,10558913.36,401555.48
2019-11-06,0.03627,0.03711,0.03589,0.03701,2797412.68,101462.16
2019-11-05,0.03701,0.03748,0.03627,0.03731,3295628.95,121971.23
2019-11-04,0.03731,0.03844,0.03731,0.03689,4309523.58,160788.32
2019-11-03,0.03689,0.03781,0.03633,0.03799,3297924.75,121660.44
2019-11-02,0.03799,0.04088,0.03781,0.03862,8261971.39,313872.29
2019-11-01,0.03862,0.0388,0.03602,0.03709,8299060.24,320509.71
2019-10-31,0.03709,0.03709,0.03544,0.03604,5424403.09,201191.11
2019-10-30,0.03604,0.03622,0.0354,0.0366,6088902.04,219444.03
2019-10-29,0.0366,0.03698,0.03603,0.03597,3036271.4,111127.53
2019-10-28,0.03597,0.03597,0.03431,0.03572,4505736.46,162071.34
2019-10-27,0.03572,0.03801,0.03553,0.03667,4050446.18,144681.94
2019-10-26,0.03667,0.03713,0.03528,0.03477,6634650.38,243292.63
2019-10-25,0.03477,0.03633,0.0339,0.0306,7949117.59,276390.82
2019-10-24,0.0306,0.03134,0.0303,0.03111,16836545.66,515198.3
2019-10-23,0.03111,0.03149,0.03059,0.03366,7191500.64,223727.58
2019-10-22,0.03366,0.03383,0.03238,0.03363,2745959.99,92429.01
2019-10-21,0.03363,0.03437,0.03248,0.03381,2839490.4,95492.06
2019-10-20,0.03381,0.03522,0.03357,0.03333,2261147.63,76449.4
2019-10-19,0.03333,0.03365,0.03269,0.03333,1141308.36,38039.81
2019-10-18,0.03333,0.03364,0.03269,0.03314,1673754.41,55786.23
2019-10-17,0.03314,0.03387,0.03314,0.03326,2195398.6,72755.51
2019-10-16,0.03326,0.03358,0.03254,0.03384,1886625.51,62749.16
2019-10-15,0.03384,0.03433,0.03343,0.03421,1713417.03,57982.03
2019-10-14,0.03421,0.03504,0.03421,0.03451,2409633.12,82433.55
2019-10-13,0.03451,0.03468,0.03401,0.03435,1796121.71,61984.16
2019-10-12,0.03435,0.03476,0.0341,0.03444,1257032.17,43179.06
2019-10-11,0.03444,0.0351,0.03419,0.03636,2281998.13,78592.02
2019-10-10,0.03636,0.03688,0.0355,0.03618,3030042.27,110172.34
2019-10-09,0.03618,0.03695,0.03575,0.03514,4621301.92,167198.7
2019-10-08,0.03514,0.03547,0.03441,0.03541,3432053.55,120602.36
2019-10-07,0.03541,0.03639,0.03491,0.03368,3240866.87,114759.1
2019-10-06,0.03368,0.0347,0.0336,0.03514,3207676.68,108034.55
2019-10-05,0.03514,0.0362,0.03506,0.03618,1583527.76,55645.17
2019-10-04,0.03618,0.03676,0.03529,0.03579,2736598.06,99010.12
2019-10-03,0.03579,0.03645,0.0348,0.03541,2692612.97,96368.62
2019-10-02,0.03541,0.03667,0.0339,0.03422,3749915.79,132784.52
2019-10-01,0.03422,0.03722,0.03389,0.03592,4400459.79,150583.73
2019-09-30,0.03592,0.03708,0.0355,0.03484,2247316.18,80723.6
2019-09-29,0.03484,0.03637,0.03412,0.03511,3586892.92,124967.35
2019-09-28,0.03511,0.03586,0.0347,0.03535,2052677.03,72069.49
2019-09-27,0.03535,0.03592,0.03404,0.03424,2756883.45,97455.83
2019-09-26,0.03424,0.03537,0.03311,0.03489,3132908.35,107270.78
2019-09-25,0.03489,0.03582,0.03328,0.03383,9063831.54,316237.08
2019-09-24,0.03383,0.03784,0.03127,0.03771,8976289.26,303667.87
2019-09-23,0.03771,0.03839,0.03723,0.03914,2435564.88,91845.15
2019-09-22,0.03914,0.03955,0.03834,0.03856,1930532.48,75561.04
2019-09-21,0.03856,0.03925,0.03816,0.03948,1634547.12,63028.14
2019-09-20,0.03948,0.04071,0.03938,0.04061,1084809.93,42828.3
2019-09-19,0.04061,0.04184,0.03938,0.03933,6753230.6,274248.69
2019-09-18,0.03933,0.04045,0.0371,0.03835,7226408.58,284214.65
2019-09-17,0.03835,0.03957,0.03733,0.03903,6295159.99,241419.39
2019-09-16,0.03903,0.03985,0.03842,0.03898,2953631.86,115280.25
2019-09-15,0.03898,0.04063,0.03888,0.0396,1606764.42,62631.68
2019-09-14,0.0396,0.04074,0.03908,0.03983,1623943.64,64308.17
2019-09-13,0.03983,0.04076,0.03931,0.04078,2618579.58,104298.02
2019-09-12,0.04078,0.04224,0.03838,0.03751,8272878.36,337367.98
2019-09-11,0.03751,0.03853,0.03741,0.03781,2785460.99,104482.64
2019-09-10,0.03781,0.03831,0.03741,0.03837,5742343.25,217118.0
2019-09-09,0.03837,0.03971,0.03817,0.03981,7693267.86,295190.69
2019-09-08,0.03981,0.04137,0.0395,0.04113,8865333.9,352928.94
2019-09-07,0.04113,0.04291,0.04081,0.04206,6711740.8,276053.9
