time,close,high,low,open,volumefrom,volumeto
2019-11-10 02:00:00,3.467,3.476,3.463,3.475,6486.23,22532.6
2019-11-10 01:00:00,3.475,3.483,3.469,3.482,14573.56,50712.87
2019-11-10 00:00:00,3.482,3.494,3.479,3.493,21593.14,75281.76
2019-11-09 23:00:00,3.493,3.499,3.481,3.483,19335.54,67489.71
2019-11-09 22:00:00,3.483,3.496,3.477,3.492,16107.14,56194.52
2019-11-09 21:00:00,3.492,3.492,3.46,3.464,25262.34,87727.82
2019-11-09 20:00:00,3.464,3.468,3.459,3.462,85512.66,296038.54
2019-11-09 19:00:00,3.462,3.467,3.459,3.462,31589.03,109414.34
2019-11-09 18:00:00,3.462,3.472,3.457,3.466,38185.56,132320.88
2019-11-09 17:00:00,3.466,3.468,3.452,3.452,17404.86,60269.14
2019-11-09 16:00:00,3.452,3.476,3.437,3.461,30271.32,104820.76
2019-11-09 15:00:00,3.461,3.464,3.443,3.457,9222.37,31862.13
2019-11-09 14:00:00,3.457,3.486,3.448,3.481,26669.58,92420.35
2019-11-09 13:00:00,3.481,3.485,3.471,3.477,8687.83,30257.83
2019-11-09 12:00:00,3.477,3.48,3.461,3.463,7913.66,27546.6
2019-11-09 11:00:00,3.463,3.492,3.462,3.49,9676.92,33711.44
2019-11-09 10:00:00,3.49,3.498,3.466,3.468,16515.31,57688.61
2019-11-09 09:00:00,3.468,3.474,3.459,3.461,28794.99,99860.48
2019-11-09 08:00:00,3.461,3.463,3.451,3.454,13394.03,46423.45
2019-11-09 07:00:00,3.454,3.478,3.454,3.478,24573.8,85047.3
2019-11-09 06:00:00,3.478,3.481,3.456,3.456,65319.93,226696.58
2019-11-09 05:00:00,3.456,3.456,3.438,3.44,16120.01,55600.5
2019-11-09 04:00:00,3.44,3.448,3.432,3.448,10390.77,35745.0
2019-11-09 03:00:00,3.448,3.456,3.441,3.443,5198.8,17959.2
2019-11-09 02:00:00,3.443,3.451,3.434,3.435,32564.72,112139.53
2019-11-09 01:00:00,3.435,3.453,3.433,3.452,60656.5,209093.69
2019-11-09 00:00:00,3.452,3.456,3.407,3.411,86974.6,298956.46
2019-11-08 23:00:00,3.411,3.439,3.408,3.434,51499.75,176388.12
2019-11-08 22:00:00,3.434,3.457,3.434,3.452,28887.84,99662.36
2019-11-08 21:00:00,3.452,3.458,3.429,3.429,51390.87,177103.02
2019-11-08 20:00:00,3.429,3.445,3.429,3.434,23045.58,79280.54
2019-11-08 19:00:00,3.434,3.446,3.419,3.419,47371.54,162948.52
2019-11-08 18:00:00,3.419,3.425,3.387,3.394,45137.95,154116.49
