time,close,high,low,open,volumefrom,volumeto
2019-11-10 02:00:00,61.84,61.94,61.67,61.9,4717.85,291056.99
2019-11-10 01:00:00,61.9,62.14,61.79,61.83,6646.28,411842.09
2019-11-10 00:00:00,61.83,62.18,61.79,62.11,6653.86,412720.05
2019-11-09 23:00:00,62.11,62.35,62.09,62.23,7408.04,460867.69
2019-11-09 22:00:00,62.23,62.37,61.92,61.92,12620.62,784197.12
2019-11-09 21:00:00,61.92,61.95,61.53,61.54,7259.67,448182.52
2019-11-09 20:00:00,61.54,61.6,61.1,61.12,3602.45,221286.26
2019-11-09 19:00:00,61.12,61.19,60.93,60.97,2341.55,143389.2
2019-11-09 18:00:00,60.97,61.11,60.9,61.05,6403.08,390942.89
2019-11-09 17:00:00,61.05,61.11,60.69,60.7,2225.51,135832.11
2019-11-09 16:00:00,60.7,61.08,60.54,60.69,9408.86,571207.58
2019-11-09 15:00:00,60.69,60.9,60.36,60.9,8147.22,493450.19
2019-11-09 14:00:00,60.9,61.18,60.73,61.16,6606.74,402446.92
2019-11-09 13:00:00,61.16,61.21,60.97,60.97,4459.42,272403.63
2019-11-09 12:00:00,60.97,61.2,60.88,60.97,2572.14,157203.15
2019-11-09 11:00:00,60.97,61.51,60.81,61.46,5090.47,311352.97
2019-11-09 10:00:00,61.46,61.52,61.34,61.45,2048.91,126101.52
2019-11-09 09:00:00,61.45,61.63,61.26,61.3,2869.01,176732.71
2019-11-09 08:00:00,61.3,61.67,61.2,61.34,4305.43,265003.53
2019-11-09 07:00:00,61.34,61.93,61.31,61.9,6578.09,405302.74
2019-11-09 06:00:00,61.9,61.96,61.42,61.42,5987.66,370087.84
2019-11-09 05:00:00,61.42,61.64,61.22,61.22,5738.22,353204.51
2019-11-09 04:00:00,61.22,61.32,61.08,61.26,3343.34,204664.75
2019-11-09 03:00:00,61.26,61.58,61.1,61.2,7817.08,479694.37
2019-11-09 02:00:00,61.2,61.41,61.05,61.19,2535.84,155505.53
2019-11-09 01:00:00,61.19,61.44,60.99,61.12,6358.35,389345.06
2019-11-09 00:00:00,61.12,61.44,60.17,60.4,8647.38,526268.78
2019-11-08 23:00:00,60.4,60.74,60.29,60.53,11061.18,669526.65
2019-11-08 22:00:00,60.53,60.8,60.31,60.77,6798.59,412131.06
2019-11-08 21:00:00,60.77,60.9,60.15,60.18,6803.09,412721.16
2019-11-08 20:00:00,60.18,60.65,60.06,60.24,8277.98,499421.37
2019-11-08 19:00:00,60.24,60.39,59.94,59.96,8328.23,501302.12
2019-11-08 18:00:00,59.96,60.22,59.53,59.57,12053.67,722568.88
2019-11-08 17:00:00,59.57,59.8,59.37,59.59,7349.6,438358.14
2019-11-08 16:00:00,59.59,60.09,59.3,60.08,6529.89,390335.59
2019-11-08 15:00:00,60.08,60.1,59.37,59.66,12603.03,753002.45
2019-11-08 14:00:00,59.66,60.17,58.79,60.17,37672.24,2234162.02
