time,close,high,low,open,volumefrom,volumeto
2019-11-10 02:00:00,1.002,1.003,1.002,1.002,15239.78,15314.97
2019-11-10 01:00:00,1.002,1.003,1.001,1.002,73686.18,73874.18
2019-11-10 00:00:00,1.002,1.002,1.002,1.002,77087.1,77258.75
2019-11-09 23:00:00,1.002,1.002,1.001,1.002,164918.34,165175.09
2019-11-09 22:00:00,1.002,1.002,1.001,1.001,174122.47,174280.75
2019-11-09 21:00:00,1.001,1.002,1.001,1.002,96287.23,96458.04
2019-11-09 20:00:00,1.002,1.002,1.002,1.002,38924.91,39040.8
2019-11-09 19:00:00,1.002,1.002,1.001,1.002,74531.66,74689.81
2019-11-09 18:00:00,1.002,1.002,1.001,1.002,25201.02,25339.4
2019-11-09 17:00:00,1.002,1.002,1.001,1.002,56790.94,56927.6
2019-11-09 16:00:00,1.002,1.002,1.001,1.001,72809.92,73026.76
2019-11-09 15:00:00,1.001,1.002,1.001,1.001,364686.06,364997.32
2019-11-09 14:00:00,1.001,1.002,1.001,1.001,41581.37,41758.46
2019-11-09 13:00:00,1.001,1.001,1.001,1.001,121574.01,121717.19
2019-11-09 12:00:00,1.001,1.001,1.0,1.001,48660.9,48762.18
2019-11-09 11:00:00,1.001,1.002,1.0,1.001,190928.59,191103.76
2019-11-09 10:00:00,1.001,1.002,1.001,1.001,89842.26,90014.95
2019-11-09 09:00:00,1.001,1.002,1.001,1.001,11401.5,11517.17
2019-11-09 08:00:00,1.001,1.001,1.0,1.001,67057.78,67209.42
2019-11-09 07:00:00,1.001,1.002,1.001,1.001,100137.98,100575.7
2019-11-09 06:00:00,1.001,1.001,1.0,1.001,107326.67,107493.46
2019-11-09 05:00:00,1.001,1.001,1.0,1.0,314558.76,314771.54
2019-11-09 04:00:00,1.0,1.001,1.0,1.0,199449.83,199665.76
2019-11-09 03:00:00,1.0,1.001,1.0,1.0,239385.07,239563.48
2019-11-09 02:00:00,1.0,1.001,0.9999,1.001,123101.45,123249.38
2019-11-09 01:00:00,1.001,1.001,1.0,1.0,164745.44,164875.27
2019-11-09 00:00:00,1.0,1.001,0.9998,1.001,93616.19,93750.0
2019-11-08 23:00:00,1.001,1.001,0.9999,1.0,239721.42,239970.67
2019-11-08 22:00:00,1.0,1.001,0.9997,0.9999,57414.14,57538.27
2019-11-08 21:00:00,0.9999,0.9999,0.9994,0.9997,262595.21,262641.84
2019-11-08 20:00:00,0.9997,0.9999,0.9995,0.9995,58012.0,58171.23
2019-11-08 19:00:00,0.9995,1.0,0.9995,0.9995,160243.57,160294.71
2019-11-08 18:00:00,0.9995,0.9999,0.9992,0.9997,199263.17,199295.26
2019-11-08 17:00:00,0.9997,0.9997,0.9991,0.9993,158487.6,158560.86
2019-11-08 16:00:00,0.9993,0.9997,0.999,0.999,378578.19,378491.89
2019-11-08 15:00:00,0.999,1.001,0.9989,0.9992,281268.72,281024.52
2019-11-08 14:00:00,0.9992,0.9997,0.9988,0.9992,1943759.44,1943144.09
2019-11-08 13:00:00,0.9992,1.0,0.9989,1.0,1153162.26,1152315.25
2019-11-08 12:00:00,1.0,1.0,0.9999,0.9999,216120.88,216266.48
2019-11-08 11:00:00,0.9999,1.001,0.9999,1.0,1054990.23,1054200.02
2019-11-08 10:00:00,1.0,1.0,1.0,1.0,278590.87,278686.31
2019-11-08 09:00:00,1.0,1.001,0.9995,0.9996,1079890.59,1079580.07
2019-11-08 08:00:00,0.9996,1.0,0.9996,1.0,726028.35,725657.56
2019-11-08 07:00:00,1.0,1.001,0.9999,1.0,188947.81,189156.66
2019-11-08 06:00:00,1.0,1.001,0.9998,0.9998,76657.09,76714.98
2019-11-08 05:00:00,0.9998,1.001,0.9997,1.0,406600.55,406286.17
2019-11-08 04:00:00,1.0,1.001,0.9997,1.0,143376.37,143326.97
2019-11-08 03:00:00,1.0,1.001,1.0,1.001,105717.08,105715.0
2019-11-08 02:00:00,1.001,1.001,1.0,1.001,187032.37,187218.12
2019-11-08 01:00:00,1.001,1.001,1.0,1.0,120431.75,120489.05
2019-11-08 00:00:00,1.0,1.001,0.9999,1.001,62154.3,62239.13
2019-11-07 23:00:00,1.001,1.001,1.0,1.0,37713.06,37810.58
2019-11-07 22:00:00,1.0,1.001,1.0,1.0,228661.83,228851.43
2019-11-07 21:00:00,1.0,1.001,0.9997,1.0,355384.89,355575.52
2019-11-07 20:00:00,1.0,1.001,1.0,1.0,44800.68,44879.08
2019-11-07 19:00:00,1.0,1.001,0.9999,1.001,61636.09,61718.93
2019-11-07 18:00:00,1.001,1.001,1.0,1.0,162987.84,163011.41
2019-11-07 17:00:00,1.0,1.001,1.0,1.001,78658.62,78799.23
2019-11-07 16:00:00,1.001,1.001,0.9998,1.0,143850.12,143894.77
2019-11-07 15:00:00,1.0,1.001,1.0,1.0,247805.93,248064.94
2019-11-07 14:00:00,1.0,1.001,0.9999,1.0,294057.05,293976.0
2019-11-07 13:00:00,1.0,1.001,1.0,1.0,342226.4,342352.37
2019-11-07 12:00:00,1.0,1.0,0.9998,1.0,234635.51,234585.44
2019-11-07 11:00:00,1.0,1.001,1.0,1.0,201933.18,202232.53
2019-11-07 10:00:00,1.0,1.0,0.9999,1.0,571574.9,571494.9
2019-11-07 09:00:00,1.0,1.001,1.0,1.0,746622.9,746171.57
2019-11-07 08:00:00,1.0,1.001,1.0,1.0,188195.09,188209.17
2019-11-07 07:00:00,1.0,1.0,0.9998,1.0,586176.84,585352.41
2019-11-07 06:00:00,1.0,1.001,1.0,1.001,529406.46,528796.94
2019-11-07 05:00:00,1.001,1.001,1.001,1.001,527131.31,527557.05
2019-11-07 04:00:00,1.001,1.001,1.001,1.001,184052.57,184214.0
2019-11-07 03:00:00,1.001,1.002,1.001,1.001,198816.56,199047.93
2019-11-07 02:00:00,1.001,1.002,1.001,1.001,196004.83,196307.37
2019-11-07 01:00:00,1.001,1.002,1.001,1.002,103884.11,104018.48
2019-11-07 00:00:00,1.002,1.002,1.001,1.001,36399.4,36434.66
2019-11-06 23:00:00,1.001,1.001,1.001,1.001,50046.29,50060.82
2019-11-06 22:00:00,1.001,1.001,1.001,1.001,127282.68,127429.4
2019-11-06 21:00:00,1.001,1.002,1.001,1.001,97709.86,97873.24
2019-11-06 20:00:00,1.001,1.002,1.001,1.002,69872.21,70034.87
2019-11-06 19:00:00,1.002,1.002,1.001,1.001,91721.05,91926.37
2019-11-06 18:00:00,1.001,1.002,1.001,1.002,152575.44,152867.68
2019-11-06 17:00:00,1.002,1.002,1.001,1.001,195268.93,195391.08
2019-11-06 16:00:00,1.001,1.002,1.001,1.001,248124.48,248666.27
